Release date,Product Family,Product,Platform,Impact,Severity,Article,Article,Supercedence: Supercedence,Download,Download,Build Number,Details,Details,Base Score,Temporal Score,Vector String,Assigning CNA
"Dec 14, 2021",Microsoft Office,Microsoft SharePoint Server 2019,,Elevation of Privilege,Important,5002054,https://support.microsoft.com/help/5002054,5002028,Security Update,https://www.microsoft.com/downloads/details.aspx?familyid=b370a437-4452-46ed-933d-612d0a10bfc0,,CVE-2021-43876,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-43876,8.8,7.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,Microsoft
"Dec 14, 2021",Microsoft Office,Microsoft SharePoint Enterprise Server 2013 Service Pack 1,,Elevation of Privilege,Important,5002008,https://support.microsoft.com/help/5002008,5001984,Security Update,https://www.microsoft.com/downloads/details.aspx?familyid=d0a4e96a-08a3-4193-b4cd-fae097f43581,,CVE-2021-43876,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-43876,8.8,7.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,Microsoft
"Dec 14, 2021",Microsoft Office,Microsoft SharePoint Enterprise Server 2016,,Elevation of Privilege,Important,5002055,https://support.microsoft.com/help/5002055,5002029,Security Update,https://www.microsoft.com/downloads/details.aspx?familyid=2b507dbf-c420-47ed-b73b-730eb4e8e89a,,CVE-2021-43876,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-43876,8.8,7.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,Microsoft
"Dec 14, 2021",Browser,Microsoft Edge (Chromium-based),,,,Release Notes,https://docs.microsoft.com/en-us/DeployEdge/microsoft-edge-relnotes-security,,Security Update,,,CVE-2021-4102,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-4102,,,,Chrome
"Dec 14, 2021",Browser,Microsoft Edge (Chromium-based),,,,Release Notes,https://docs.microsoft.com/en-us/DeployEdge/microsoft-edge-relnotes-security,,Security Update,,,CVE-2021-4101,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-4101,,,,Chrome
"Dec 14, 2021",Browser,Microsoft Edge (Chromium-based),,,,Release Notes,https://docs.microsoft.com/en-us/DeployEdge/microsoft-edge-relnotes-security,,Security Update,,,CVE-2021-4100,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-4100,,,,Chrome
"Dec 14, 2021",Browser,Microsoft Edge (Chromium-based),,,,Release Notes,https://docs.microsoft.com/en-us/DeployEdge/microsoft-edge-relnotes-security,,Security Update,,,CVE-2021-4099,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-4099,,,,Chrome
"Dec 14, 2021",Browser,Microsoft Edge (Chromium-based),,,,Release Notes,https://docs.microsoft.com/en-us/DeployEdge/microsoft-edge-relnotes-security,,Security Update,,,CVE-2021-4098,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-4098,,,,Chrome
"Dec 14, 2021",Developer Tools,Microsoft BizTalk ESB Toolkit 2.3,,Spoofing,Important,5009301,https://support.microsoft.com/help/5009301,,Security Update,https://www.microsoft.com/download/details.aspx?id=103700,,CVE-2021-43892,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-43892,7.4,6.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:N/A:N/E:P/RL:O/RC:C,Microsoft
"Dec 14, 2021",Developer Tools,Microsoft BizTalk ESB Toolkit 2.4,,Spoofing,Important,5009301,https://support.microsoft.com/help/5009301,,Security Update,https://www.microsoft.com/download/details.aspx?id=103700,,CVE-2021-43892,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-43892,7.4,6.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:N/A:N/E:P/RL:O/RC:C,Microsoft
"Dec 14, 2021",Developer Tools,Microsoft BizTalk ESB Toolkit 2.2,,Spoofing,Important,5009301,https://support.microsoft.com/help/5009301,,Security Update,https://www.microsoft.com/download/details.aspx?id=103700,,CVE-2021-43892,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-43892,7.4,6.7,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:N/A:N/E:P/RL:O/RC:C,Microsoft
"Dec 14, 2021",Developer Tools,Visual Studio Code,,Spoofing,Important,Release Notes,https://code.visualstudio.com/updates/v1_63,,Security Update,https://code.visualstudio.com/Download,,CVE-2021-43908,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-43908,4.3,3.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N/E:P/RL:O/RC:C,Microsoft
"Dec 14, 2021",Apps,Office app,,Remote Code Execution,Critical,Release Notes,https://ms-windows-store://pdp/?productid=9WZDNCRD29V9,,Security Update,ms-windows-store://pdp/?productid=9WZDNCRD29V9,,CVE-2021-43905,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-43905,9.6,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H/E:P/RL:O/RC:C,Microsoft
"Dec 14, 2021",Device,Microsoft 4K Wireless Display Adapter,,Remote Code Execution,Critical,Description,https://www.microsoft.com/en-us/p/microsoft-wireless-display-adapter/9wzdncrfjbb1?activetab=pivot:overviewtab,,Security Update,https://www.microsoft.com/en-us/p/microsoft-wireless-display-adapter/9wzdncrfjbb1?activetab=pivot:overviewtab,,CVE-2021-43899,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-43899,9.8,8.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,Microsoft
"Dec 14, 2021",Developer Tools,PowerShell 7.2,,Spoofing,Important,Release Notes,https://github.com/PowerShell/Announcements/issues/28,,Security Update,https://github.com/PowerShell/PowerShell#get-powershell,,CVE-2021-43896,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-43896,5.5,4.8,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N/E:U/RL:O/RC:C,Microsoft
"Dec 14, 2021",Windows,Windows Server 2012 R2 (Server Core installation),,Elevation of Privilege,Important,5008263,https://support.microsoft.com/help/5008263,5007247,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008263,,CVE-2021-43893,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-43893,7.5,6.5,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,Microsoft
"Dec 14, 2021",Windows,Windows Server 2012 R2 (Server Core installation),,Elevation of Privilege,Important,5008285,https://support.microsoft.com/help/5008285,,Security Only,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5008285,,CVE-2021-43893,https://msrc.microsoft.com//update-guide/vulnerability/CVE-2021-43893,7.5,6.5,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,Microsoft
